Model,Accuracy,ROC-AUC,Recall (Pneumonia),Precision (Pneumonia),Optimal T,ECE Before,ECE After,MCE Before,MCE After,Minority ECE Before,Minority ECE After
Custom_CNN,81.25%,0.9381,99.49%,77.14%,1.186,17.74%,17.44%,62.16%,52.81%,50.35%,50.38%
ResNet18_Pretrained,83.81%,0.9538,99.74%,79.55%,1.018,16.08%,16.07%,76.08%,75.71%,43.99%,44.00%
